"","X","Y","Presence","Annual.Mean.Temperature","Mean.Diurnal.Range","Isothermality","Temperature.Seasonality","Max.Temperature.of.Warmest.Month","Min.Temperature.of.Coldest.Month","Temperature.Annual.Range","Mean.Temperature.of.Wettest.Quarter","Mean.Temperature.of.Driest.Quarter","Mean.Temperature.of.Warmest.Quarter","Mean.Temperature.of.Coldest.Quarter","Annual.Precipitation","Precipitation.of.Wettest.Month","Precipitation.of.Driest.Month","Precipitation.Seasonality","Precipitation.of.Wettest.Quarter","Precipitation.of.Driest.Quarter","Precipitation.of.Warmest.Quarter","Precipitation.of.Coldest.Quarter"
"84480",141.4006,-34.3994,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84481",141.4318,-34.42418,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84482",141.3831,-34.38093,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84483",141.9963,-35.44489,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
"84484",141.4397,-34.40972,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84485",142.1498,-35.19501,1,161,140,49,4925,319,38,281,130,225,225,99,357,39,22,20,111,69,69,102
"84486",141.3928,-34.39113,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84487",142.2436,-34.27975,1,170,138,48,5126,326,41,285,139,207,236,105,299,31,20,15,89,61,66,79
"84488",141.412,-34.3999,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84489",142.182,-35.1406,1,162,140,49,4940,320,39,281,131,226,226,100,355,38,22,19,110,69,69,100
"84490",142.196,-35.34784,1,160,140,49,4898,318,37,281,128,223,223,98,361,40,22,20,112,69,69,104
"84491",142.0316,-35.14288,1,161,141,50,4903,319,37,282,130,224,224,98,357,39,22,20,111,68,68,103
"84492",141.4339,-34.42694,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84493",141.9328,-35.43131,1,160,141,50,4827,318,38,280,128,222,222,99,354,40,21,21,110,66,66,105
"84494",142.1952,-35.34402,1,160,140,49,4898,318,37,281,128,223,223,98,361,40,22,20,112,69,69,104
"84495",142.1769,-35.16745,1,162,140,49,4914,319,38,281,131,225,225,99,357,39,22,19,111,69,69,101
"84496",141.5335,-34.50044,1,165,140,49,4977,323,39,284,134,226,229,102,315,33,20,19,98,62,62,90
"84497",141.4131,-34.399,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84498",141.9119,-35.43147,1,160,141,50,4802,317,38,279,128,222,222,99,353,40,21,20,110,66,66,105
"84499",141.9672,-35.35801,1,160,141,50,4865,318,38,280,128,223,223,98,356,40,21,21,112,67,67,104
"84500",141.5597,-34.50753,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84501",142.2726,-34.68794,1,167,139,48,5052,323,39,284,136,232,232,102,329,34,22,16,100,68,68,90
"84502",141.4516,-34.41582,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84503",141.5524,-34.50724,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84504",141.1906,-35.24889,1,161,142,51,4648,317,42,275,130,219,221,102,325,36,18,23,103,58,59,100
"84505",141.3989,-34.38822,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84506",141.4066,-34.39812,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84507",141.9212,-35.3773,1,160,141,50,4816,318,38,280,129,222,222,99,351,39,21,20,109,66,66,103
"84508",141.4426,-34.41513,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84509",141.5987,-34.17367,1,172,139,48,5094,330,44,286,141,208,238,107,284,30,19,16,86,58,59,77
"84510",141.5652,-34.49903,1,167,140,49,4998,324,41,283,135,227,231,103,307,33,19,19,96,60,61,87
"84511",141.4317,-34.41517,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84512",141.5194,-34.54559,1,165,141,49,4981,323,39,284,134,225,229,101,317,34,20,19,99,62,62,91
"84513",141.5451,-34.49328,1,167,140,49,4998,324,41,283,135,227,231,103,307,33,19,19,96,60,61,87
"84514",141.5629,-34.50481,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84515",141.9109,-35.44049,1,160,141,50,4802,317,38,279,128,222,222,99,353,40,21,20,110,66,66,105
"84516",140.9639,-34.16882,1,170,141,49,4999,326,43,283,138,230,234,106,278,30,17,18,85,55,55,78
"84517",141.56,-34.50647,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84518",141.4458,-34.41602,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84519",141.5583,-34.5,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84520",141.6057,-34.39639,1,168,140,49,5029,326,42,284,137,205,233,104,302,32,20,18,93,60,61,84
"84521",141.422,-34.40243,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84522",141.5074,-34.46574,1,166,140,49,4972,323,39,284,134,226,229,102,314,33,20,18,97,62,62,89
"84523",141.4517,-34.41582,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84524",141.9986,-35.46389,1,159,141,50,4823,317,37,280,127,221,221,98,358,40,21,21,112,66,66,106
"84525",141.4421,-34.40711,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84526",141.4427,-34.43316,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84527",146.3872,-38.36116,1,125,105,50,3507,238,28,210,85,169,169,79,995,102,47,20,294,177,177,287
"84528",141.552,-34.50486,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84529",141.9993,-35.46684,1,159,141,50,4823,317,37,280,127,221,221,98,358,40,21,21,112,66,66,106
"84530",141.5586,-34.50754,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84531",141.4346,-34.42637,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84532",141.3499,-34.36043,1,168,140,49,4997,325,42,283,137,229,232,104,292,31,18,18,89,58,59,82
"84533",141.9972,-35.45767,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
"84534",142.031,-35.14072,1,161,141,50,4903,319,37,282,130,224,224,98,357,39,22,20,111,68,68,103
"84535",142.1608,-35.19671,1,161,140,49,4925,319,38,281,130,225,225,99,357,39,22,20,111,69,69,102
"84536",141.6037,-34.5416,1,166,140,49,4983,323,40,283,135,227,230,102,311,33,20,19,96,62,62,88
"84537",142.2416,-34.28789,1,170,138,48,5126,326,41,285,139,207,236,105,299,31,20,15,89,61,66,79
"84538",142.0505,-35.58452,1,158,141,50,4812,316,37,279,126,220,220,97,364,41,21,21,113,67,67,107
"84539",141.9986,-35.45589,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
"84540",141.9991,-35.44881,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
"84541",141.999,-35.4398,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
"84542",142.0283,-35.142,1,161,141,50,4903,319,37,282,130,224,224,98,357,39,22,20,111,68,68,103
"84543",142.0313,-35.1447,1,161,141,50,4903,319,37,282,130,224,224,98,357,39,22,20,111,68,68,103
"84544",142,-35.45,1,159,141,50,4837,317,37,280,128,222,222,98,358,40,21,21,112,66,66,105
"84545",141.4519,-34.33122,1,170,140,49,5017,327,43,284,138,206,234,105,292,31,19,17,89,59,60,80
"84546",141.4403,-34.4301,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84547",141.3357,-34.36046,1,168,140,49,4997,325,42,283,137,229,232,104,292,31,18,18,89,58,59,82
"84548",141.8926,-34.77338,1,166,140,49,4971,323,40,283,135,227,230,103,320,34,21,19,100,64,64,90
"84549",141.4042,-34.3888,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84550",141.5201,-34.54558,1,165,141,49,4981,323,39,284,134,225,229,101,317,34,20,19,99,62,62,91
"84551",141.4,-34.39167,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84552",142.0039,-35.44611,1,159,141,50,4837,317,37,280,128,222,222,98,358,40,21,21,112,66,66,105
"84553",141.5411,-34.4959,1,166,140,49,4972,323,39,284,134,226,229,102,314,33,20,18,97,62,62,89
"84554",141.4459,-34.41331,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84555",141.8107,-35.113,1,162,141,50,4875,320,39,281,131,225,225,100,338,37,21,19,105,65,65,99
"84556",141.8303,-34.63806,1,167,140,49,4972,325,41,284,136,228,231,104,311,33,20,18,96,62,63,87
"84557",141.397,-34.39903,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84558",145.6877,-28.0761,1,205,138,45,5991,352,50,302,270,141,279,124,384,61,16,38,152,61,138,66
"84559",141.4074,-34.401,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84560",152.6304,-30.49659,1,167,118,51,4009,273,42,231,212,120,215,112,1634,243,51,47,701,179,635,236
"84561",142.2396,-33.34001,1,176,138,47,5347,332,42,290,177,214,245,108,283,28,20,10,75,67,67,68
"84562",141.1671,-33.21592,1,177,139,48,5200,332,46,286,145,110,243,110,238,24,17,11,63,55,58,55
"84563",142.2253,-33.33841,1,176,138,47,5347,332,42,290,177,214,245,108,283,28,20,10,75,67,67,68
"84564",150.7575,-34.09542,1,166,117,49,4128,274,39,235,214,118,216,110,903,103,42,27,304,140,271,184
"84565",152.6387,-30.48188,1,167,118,51,4009,273,42,231,212,120,215,112,1634,243,51,47,701,179,635,236
"84566",142.2513,-33.35029,1,178,138,47,5342,333,43,290,146,246,246,109,279,28,19,11,75,65,65,68
"84567",152.6304,-30.49449,1,167,118,51,4009,273,42,231,212,120,215,112,1634,243,51,47,701,179,635,236
"84568",152.7117,-30.4686,1,176,119,51,3946,281,50,231,221,130,223,122,1637,243,49,48,711,177,631,245
"84569",142.1579,-33.40827,1,176,138,47,5334,332,43,289,144,245,245,108,281,28,19,11,76,65,65,69
"84570",142.1688,-33.40445,1,176,138,47,5357,332,42,290,144,214,245,107,282,28,19,10,76,66,66,69
"84571",152.6098,-30.49509,1,162,117,50,4054,269,39,230,208,115,211,107,1617,240,51,47,689,178,629,231
"84572",141.6797,-33.19018,1,178,138,47,5300,333,45,288,147,110,246,110,256,26,18,11,69,59,61,59
"84573",142.4827,-33.38286,1,177,139,47,5364,333,42,291,146,216,246,108,280,28,19,11,75,66,66,69
"84574",141.9958,-35.44598,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
"84575",142.2247,-33.34718,1,176,138,47,5347,332,42,290,177,214,245,108,283,28,20,10,75,67,67,68
"84576",152.64,-30.48131,1,167,118,51,4009,273,42,231,212,120,215,112,1634,243,51,47,701,179,635,236
"84577",143.3989,-33.93813,1,172,140,47,5401,329,37,292,140,212,241,102,326,33,22,13,91,75,75,80
"84578",140.1243,-33.76166,1,170,142,51,4907,323,45,278,138,207,233,107,238,26,14,15,68,50,54,60
"84579",142.1627,-35.17858,1,161,140,49,4925,319,38,281,130,225,225,99,357,39,22,20,111,69,69,102
"84580",143.3532,-33.88241,1,172,140,47,5401,329,37,292,140,212,241,102,325,33,22,12,91,75,75,80
"84581",143.3991,-33.92615,1,172,140,47,5401,329,37,292,140,212,241,102,326,33,22,13,91,75,75,80
"84582",145.6087,-27.98764,1,205,140,46,6026,352,48,304,270,139,278,123,379,61,15,41,155,57,141,63
"84583",140.0334,-33.77101,1,169,142,50,4903,323,44,279,137,206,232,107,239,26,13,15,69,49,55,61
"84584",143.3915,-33.91376,1,172,140,47,5408,329,36,293,139,211,241,102,331,34,22,13,93,75,76,83
"84585",140.14,-33.78138,1,170,142,50,4905,324,45,279,139,230,233,108,236,25,14,14,67,50,53,60
"84586",141.4255,-34.41117,1,168,140,49,4991,325,42,283,137,229,232,104,300,32,19,18,92,60,60,84
"84587",141.406,-34.40021,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84588",117.6856,-29.26461,1,200,148,47,6137,365,52,313,132,192,277,121,273,49,9,50,118,34,49,108
"84589",142.0484,-35.58668,1,158,141,50,4812,316,37,279,126,220,220,97,364,41,21,21,113,67,67,107
"84590",134.0629,-23.995,1,209,162,48,6113,371,36,335,282,147,282,127,266,35,8,41,104,33,104,41
"84591",117.7682,-28.56269,1,208,146,46,6176,375,60,315,139,237,286,128,245,39,9,45,103,29,53,92
"84592",145.5784,-27.95919,1,205,140,46,5983,352,48,304,270,140,278,124,377,61,15,41,156,57,141,63
"84593",145.5799,-27.96323,1,205,140,46,5983,352,48,304,270,140,278,124,377,61,15,41,156,57,141,63
"84594",145.6093,-27.98949,1,205,140,46,6026,352,48,304,270,139,278,123,379,61,15,41,155,57,141,63
"84595",143.3484,-33.87355,1,173,140,47,5417,330,37,293,141,213,242,103,324,33,22,12,90,75,75,80
"84596",139.9692,-33.97888,1,168,141,51,4784,320,46,274,136,226,229,107,258,28,13,18,75,50,55,70
"84597",142.0867,-35.58171,1,158,141,50,4824,316,37,279,126,221,221,97,364,41,21,21,113,67,67,107
"84598",145.6106,-27.98854,1,205,140,46,6026,352,48,304,270,139,278,123,379,61,15,41,155,57,141,63
"84599",140.2051,-33.70014,1,170,142,50,4967,325,44,281,139,207,234,107,234,25,14,14,66,50,54,59
"84600",140.161,-33.75475,1,170,142,50,4905,324,45,279,139,230,233,108,236,25,14,14,67,50,53,60
"84601",141.7906,-33.70113,1,175,138,48,5198,331,44,287,144,212,242,108,274,28,19,11,78,61,61,70
"84602",140.2,-33.8,1,170,142,50,4912,324,45,279,138,230,233,107,241,26,14,15,69,50,53,63
"84603",140.1596,-33.76337,1,170,142,50,4905,324,45,279,139,230,233,108,236,25,14,14,67,50,53,60
"84604",144.9625,-28.28781,1,204,147,46,6035,359,45,314,271,140,279,124,360,60,12,44,154,49,134,58
"84605",147.0677,-26.48963,1,195,149,48,5782,338,30,308,264,132,264,116,535,83,21,41,213,76,213,80
"84606",142.2366,-35.46161,1,159,140,49,4901,318,36,282,126,222,222,97,360,40,21,20,112,67,67,104
"84607",141.8878,-35.54367,1,157,141,50,4796,315,36,279,126,219,219,96,371,42,22,22,116,68,68,112
"84608",147.0602,-26.48409,1,195,149,48,5782,338,30,308,264,132,264,116,535,83,21,41,213,76,213,80
"84609",147.0515,-27.9858,1,205,145,47,5908,352,45,307,270,141,277,126,431,61,18,35,161,68,155,72
"84610",133.4308,-24.35898,1,212,160,48,6147,371,38,333,286,149,286,129,248,34,10,37,93,34,93,39
"84611",120.7214,-27.44056,1,205,144,44,6393,370,45,325,279,206,285,121,232,29,7,39,83,25,73,59
"84612",147.9767,-29.46333,1,200,141,46,5855,349,46,303,265,121,272,121,473,74,22,38,181,81,177,81
"84613",145.0422,-31.57667,1,187,134,45,5871,340,44,296,256,124,261,110,342,41,18,23,108,70,94,73
"84614",145.5519,-27.97306,1,205,140,46,5983,352,48,304,270,140,278,124,377,61,15,41,156,57,141,63
"84615",145.5783,-27.97957,1,205,140,46,5983,352,48,304,270,140,278,124,377,61,15,41,156,57,141,63
"84616",148.9367,-27.96888,1,203,141,48,5604,343,50,293,264,141,271,127,552,82,26,33,198,92,198,94
"84617",118.4197,-27.85898,1,213,140,44,6254,377,64,313,142,208,292,132,220,31,7,43,83,24,59,71
"84618",145.5267,-27.9825,1,205,141,46,6012,353,48,305,271,140,279,124,372,61,14,42,156,54,142,61
"84619",143.0563,-24.8217,1,232,148,47,5880,376,66,310,293,169,301,151,302,57,8,60,148,30,133,34
"84620",145.5461,-27.98249,1,205,140,46,5983,352,48,304,270,140,278,124,377,61,15,41,156,57,141,63
"84621",142.2253,-33.33841,1,176,138,47,5347,332,42,290,177,214,245,108,283,28,20,10,75,67,67,68
"84622",117.1303,-28.29981,1,209,147,46,6159,378,62,316,141,201,286,130,226,36,8,44,93,29,51,84
"84623",145.6027,-27.98698,1,205,140,46,6026,352,48,304,270,139,278,123,379,61,15,41,155,57,141,63
"84624",143.2125,-25.34415,1,229,147,47,6027,375,63,312,293,164,301,147,309,55,8,57,148,33,129,39
"84625",145.5986,-27.94171,1,205,140,46,5974,352,49,303,270,140,278,124,378,61,15,41,154,57,140,63
"84626",145.1952,-28.1171,1,204,146,46,5995,357,45,312,270,140,278,124,371,62,13,46,160,51,142,60
"84627",145.5301,-27.99633,1,205,141,46,6012,353,48,305,271,140,279,124,372,61,14,42,156,54,142,61
"84628",133.9804,-23.86306,1,211,163,48,6111,372,36,336,283,148,283,128,272,36,8,43,107,33,107,41
"84629",140.1531,-33.76,1,170,142,50,4905,324,45,279,139,230,233,108,236,25,14,14,67,50,53,60
"84630",141.4034,-34.39888,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84631",142.2392,-33.34031,1,176,138,47,5347,332,42,290,177,214,245,108,283,28,20,10,75,67,67,68
"84632",145.5589,-27.9757,1,205,140,46,5983,352,48,304,270,140,278,124,377,61,15,41,156,57,141,63
"84633",141.9833,-35.45386,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
"84634",149.5588,-37.31969,1,134,89,47,3455,229,41,188,146,94,178,88,949,101,65,15,258,210,225,233
"84635",140.8063,-33.32593,1,174,141,49,5161,330,43,287,142,211,240,108,233,24,17,11,63,53,57,55
"84636",141.5491,-34.50314,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84637",140.9167,-33.75,1,174,140,49,5099,329,44,285,142,210,239,108,254,26,17,13,73,54,55,67
"84638",145.6417,-27.98962,1,205,139,45,6017,352,48,304,270,140,278,124,382,61,16,39,153,60,139,65
"84639",117.7802,-28.55622,1,208,146,46,6176,375,60,315,139,237,286,128,245,39,9,45,103,29,53,92
"84640",141.5796,-32.01162,1,173,130,45,5533,324,39,285,174,102,244,102,268,29,16,17,73,55,70,55
"84641",118.6173,-28.0114,1,210,140,44,6234,373,61,312,139,205,288,129,221,31,8,42,84,25,57,71
"84642",148.8746,-27.98186,1,204,141,48,5601,343,51,292,265,142,271,128,553,82,26,33,200,92,198,94
"84643",142.6221,-34.20886,1,170,138,47,5224,326,38,288,138,207,237,103,317,33,21,13,93,67,70,83
"84644",145.9708,-32.89898,1,176,134,45,5775,331,37,294,178,114,249,100,414,46,27,18,118,92,96,95
"84645",134.0381,-23.92849,1,211,163,48,6092,372,37,335,283,149,283,129,263,35,8,44,104,33,104,40
"84646",148.2431,-25.06617,1,192,153,51,5218,329,31,298,253,135,253,119,691,103,18,50,305,77,305,88
"84647",141.3489,-34.36828,1,168,140,49,4997,325,42,283,137,229,232,104,292,31,18,18,89,58,59,82
"84648",145.9556,-32.88527,1,175,134,45,5754,330,36,294,177,113,248,100,415,46,27,18,119,92,96,95
"84649",142.0173,-35.62882,1,157,141,50,4790,315,36,279,125,219,219,96,370,42,22,21,114,69,69,110
"84650",134.727,-33.16044,1,168,114,53,3628,284,70,214,120,212,213,120,386,64,7,58,176,34,37,176
"84651",140.7839,-34.06632,1,173,141,50,4973,328,47,281,142,233,237,109,256,27,15,17,76,51,52,71
"84652",145.6037,-27.94476,1,205,140,46,5974,352,49,303,270,140,278,124,378,61,15,41,154,57,140,63
"84653",145.503,-27.95477,1,203,141,46,6007,351,46,305,269,138,277,122,381,62,15,42,158,57,144,63
"84654",141.597,-34.38706,1,168,140,49,5029,326,42,284,137,205,233,104,302,32,20,18,93,60,61,84
"84655",131.0246,-25.3415,1,208,161,47,6165,368,32,336,274,143,282,125,321,45,9,45,135,40,110,42
"84656",133.6711,-23.66333,1,203,161,48,6049,362,31,331,275,141,275,121,308,40,11,41,119,41,119,47
"84657",141.4391,-34.42321,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84658",133.9028,-23.8024,1,209,163,48,6073,371,35,336,281,147,281,127,277,37,9,42,109,35,109,42
"84659",133.9794,-23.86105,1,211,163,48,6111,372,36,336,283,148,283,128,272,36,8,43,107,33,107,41
"84660",140.1374,-33.77034,1,170,142,50,4905,324,45,279,139,230,233,108,236,25,14,14,67,50,53,60
"84661",133.9862,-23.86567,1,211,163,48,6111,372,36,336,283,148,283,128,272,36,8,43,107,33,107,41
"84662",133.9822,-23.86317,1,211,163,48,6111,372,36,336,283,148,283,128,272,36,8,43,107,33,107,41
"84663",134.0583,-23.98303,1,209,162,48,6113,371,36,335,282,147,282,127,266,35,8,41,104,33,104,41
"84664",117.3675,-28.19389,1,211,146,46,6194,380,63,317,142,204,289,131,216,34,8,41,88,28,53,79
"84665",142.0658,-35.57482,1,158,141,50,4824,316,37,279,126,221,221,97,363,41,21,21,113,67,67,107
"84666",133.9952,-23.87326,1,211,163,48,6111,372,36,336,283,148,283,128,272,36,8,43,107,33,107,41
"84667",148.9441,-30.65062,1,185,145,47,5727,337,34,303,256,109,256,109,592,89,35,31,209,111,209,111
"84668",145.84,-32.942,1,175,134,45,5756,331,36,295,177,113,248,100,407,45,26,19,117,91,93,95
"84669",151.3102,-33.72549,1,176,92,47,3655,262,70,192,219,134,219,126,1290,155,66,27,431,222,360,300
"84670",142.3114,-32.53292,1,184,137,47,5496,336,45,291,249,112,253,112,258,31,16,19,71,56,68,56
"84671",146.2322,-30.19611,1,199,142,46,5832,352,49,303,265,135,272,122,391,47,19,28,139,71,122,73
"84672",143.969,-26.63373,1,219,144,45,6200,369,54,315,285,152,293,135,344,55,11,49,153,43,139,48
"84673",145.2757,-23.7987,1,227,148,50,5194,362,70,292,279,203,286,155,489,92,12,59,229,49,222,66
"84674",133.7146,-23.95849,1,205,162,48,6126,366,31,335,278,143,278,122,283,37,10,39,107,38,107,45
"84675",133.879,-23.78957,1,209,163,48,6056,370,36,334,281,148,281,127,280,37,9,42,110,35,110,42
"84676",146.2157,-26.38349,1,205,144,47,5894,346,40,306,269,142,275,125,496,77,19,44,204,66,199,68
"84677",134.0787,-24.01465,1,209,162,48,6124,370,35,335,282,146,282,126,266,35,8,41,103,34,103,42
"84678",145.9106,-30.51804,1,198,138,46,5868,350,50,300,265,134,272,121,358,48,18,29,127,67,106,68
"84679",145.6166,-27.9944,1,205,140,46,6026,352,48,304,270,139,278,123,379,61,15,41,155,57,141,63
"84680",133.7732,-23.89675,1,208,162,48,6091,369,34,335,280,146,280,126,277,37,9,40,107,36,107,43
"84681",145.7147,-30.51778,1,197,138,46,5835,349,50,299,265,134,271,120,352,47,17,28,125,66,104,68
"84682",145.5256,-27.94497,1,203,141,46,6007,351,46,305,269,138,277,122,381,62,15,42,158,57,144,63
"84683",117.609,-28.65056,1,209,147,46,6182,377,60,317,140,237,287,130,243,40,9,46,104,29,50,94
"84684",144.9034,-30.28192,1,200,140,46,5964,353,50,303,268,135,275,121,328,45,16,27,113,64,105,66
"84685",143.1438,-25.1756,1,230,147,47,5976,375,64,311,292,165,300,148,309,56,8,57,148,33,130,39
"84686",144.135,-25.52974,1,221,148,47,5956,366,55,311,284,157,292,140,384,62,10,52,176,42,159,49
"84687",146.8589,-26.35311,1,198,149,48,5793,341,32,309,267,135,267,119,510,79,19,42,202,69,202,75
"84688",144.178,-25.55733,1,222,148,47,5975,367,55,312,284,157,292,140,385,62,10,52,176,42,159,50
"84689",120.851,-30.461,1,185,135,46,5478,340,51,289,122,183,254,113,265,38,14,29,93,45,63,86
"84690",141.4405,-34.41845,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84691",133.7803,-23.8897,1,208,162,48,6091,369,34,335,280,146,280,126,277,37,9,40,107,36,107,43
"84692",134.0704,-24.002,1,209,162,48,6124,370,35,335,282,146,282,126,266,35,8,41,103,34,103,42
"84693",145.7139,-30.50263,1,197,138,46,5835,349,50,299,265,134,271,120,352,47,17,28,125,66,104,68
"84694",133.98,-23.86257,1,211,163,48,6111,372,36,336,283,148,283,128,272,36,8,43,107,33,107,41
"84695",146.2665,-34.21861,1,167,133,45,5698,323,31,292,130,224,240,94,447,45,30,13,126,100,100,116
