"","X","Y","Presence","Annual.Mean.Temperature","Mean.Diurnal.Range","Isothermality","Temperature.Seasonality","Max.Temperature.of.Warmest.Month","Min.Temperature.of.Coldest.Month","Temperature.Annual.Range","Mean.Temperature.of.Wettest.Quarter","Mean.Temperature.of.Driest.Quarter","Mean.Temperature.of.Warmest.Quarter","Mean.Temperature.of.Coldest.Quarter","Annual.Precipitation","Precipitation.of.Wettest.Month","Precipitation.of.Driest.Month","Precipitation.Seasonality","Precipitation.of.Wettest.Quarter","Precipitation.of.Driest.Quarter","Precipitation.of.Warmest.Quarter","Precipitation.of.Coldest.Quarter"
"68496",147.5581,-38.06278,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68497",147.4233,-38.15028,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68498",142.3335,-36.9787,1,136,125,50,4283,282,32,250,82,191,191,82,619,78,29,34,216,91,91,216
"68499",147.6279,-36.86348,1,116,126,48,4685,261,1,260,86,175,175,55,890,96,47,19,275,165,177,257
"68500",141.13,-37.17417,1,138,124,51,3815,279,40,239,91,188,188,91,650,89,21,41,248,77,77,248
"68501",141.0578,-36.9821,1,141,128,52,3937,286,40,246,92,192,192,92,584,79,20,41,222,72,72,222
"68502",145.0334,-37.98072,1,147,95,48,3585,257,60,197,122,193,193,101,722,77,44,17,211,136,136,184
"68503",147.3964,-38.14736,1,140,108,52,3399,246,41,205,153,183,183,96,645,68,35,15,191,136,136,155
"68504",141.2778,-38.035,1,136,96,52,2960,239,55,184,98,175,175,98,793,107,25,40,306,98,98,306
"68505",141.5039,-37.11444,1,136,127,51,3978,280,35,245,92,188,188,86,626,83,22,40,234,76,76,231
"68506",141.3781,-37.24917,1,137,124,51,3848,277,38,239,94,187,187,88,647,86,21,41,243,77,77,240
"68507",141.3775,-37.35639,1,134,121,51,3742,271,37,234,92,182,182,86,693,92,22,40,262,83,83,257
"68508",147.5583,-38.06194,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68509",147.5569,-38.06361,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68510",147.4669,-38.10889,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68511",147.4436,-38.12667,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68512",147.3833,-38.18194,1,140,106,52,3385,244,41,203,153,183,183,95,647,67,35,15,190,135,135,158
"68513",145.2818,-37.7137,1,144,106,48,3909,267,49,218,118,194,194,94,830,85,49,18,244,152,152,215
"68514",144.6632,-37.41272,1,111,106,46,4279,245,16,229,63,166,166,57,1056,128,52,29,356,161,161,348
"68515",147.2085,-38.25214,1,138,106,51,3416,243,39,204,151,168,181,93,651,65,37,15,191,138,139,158
"68516",141.2233,-37.64138,1,138,112,52,3407,262,48,214,100,182,182,95,701,95,23,40,265,84,84,264
"68517",143.6192,-37.70613,1,123,109,48,3971,253,30,223,95,175,175,72,724,82,38,22,230,122,122,210
"68518",145.5374,-38.4283,1,140,92,48,3258,246,57,189,105,183,183,98,947,104,42,26,296,152,152,292
"68519",142.0276,-37.35619,1,131,119,50,3857,269,35,234,88,181,181,82,670,86,27,34,236,93,93,232
"68520",145.2052,-37.80727,1,142,102,48,3785,261,51,210,116,191,191,93,868,89,51,16,248,162,162,224
"68521",142.3136,-37.18028,1,135,122,50,4070,276,34,242,90,187,187,83,639,80,29,32,221,93,93,218
"68522",141.2828,-38.05167,1,136,93,51,2927,236,57,179,99,174,174,99,795,107,24,40,308,98,98,308
"68523",147.5564,-38.06361,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68524",147.3736,-38.18389,1,140,107,52,3416,245,40,205,153,183,183,95,642,66,35,15,189,136,136,155
"68525",147.4675,-38.10889,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68526",147.4678,-38.10944,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68527",147.4661,-38.10861,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68528",147.5525,-38.05694,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68529",142.0271,-37.34543,1,131,119,50,3857,269,35,234,88,181,181,82,670,86,27,34,236,93,93,232
"68530",143.4219,-37.44159,1,125,116,48,4210,263,26,237,95,180,180,72,693,81,36,26,224,111,111,208
"68531",144.3396,-36.78825,1,145,120,46,4820,289,32,257,92,205,206,83,584,69,30,25,190,103,105,183
"68532",142.0317,-37.35321,1,131,119,50,3857,269,35,234,88,181,181,82,670,86,27,34,236,93,93,232
"68533",147.5178,-38.07056,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68534",147.3736,-38.18472,1,140,107,52,3416,245,40,205,153,183,183,95,642,66,35,15,189,136,136,155
"68535",147.4775,-38.105,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68536",147.4433,-38.12639,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68537",145.2995,-37.6904,1,141,107,48,3969,266,45,221,114,192,192,90,874,90,50,19,260,156,156,229
"68538",145.1577,-37.6679,1,146,105,48,3925,267,51,216,139,196,196,95,737,74,47,16,216,145,145,178
"68539",141.3434,-36.9871,1,138,129,52,4026,283,35,248,94,190,190,88,595,78,21,40,221,73,73,220
"68540",141.5015,-36.79341,1,140,132,52,4184,287,34,253,94,194,194,87,540,70,23,37,196,72,72,195
"68541",145.2074,-37.62038,1,143,108,48,4044,269,46,223,136,194,194,91,742,74,46,17,218,143,143,184
"68542",142.3319,-37.60111,1,131,113,50,3700,261,39,222,90,179,179,84,670,81,30,28,222,102,102,213
"68543",141.2581,-37.58028,1,136,115,51,3534,266,44,222,97,182,182,92,700,94,23,39,264,85,85,260
"68544",147.7786,-36.90917,1,96,118,47,4590,235,-15,250,66,153,153,36,1038,109,53,19,319,192,202,290
"68545",147.5178,-38.06972,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68546",147.5567,-38.06278,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68547",147.3728,-38.185,1,140,107,52,3416,245,40,205,153,183,183,95,642,66,35,15,189,136,136,155
"68548",147.4664,-38.12278,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68549",147.5553,-38.05944,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68550",147.4764,-38.105,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68551",147.3833,-38.18111,1,140,106,52,3385,244,41,203,153,183,183,95,647,67,35,15,190,135,135,158
"68552",145.8733,-38.70634,1,138,89,48,3133,239,57,182,98,179,179,98,942,108,34,28,309,146,146,309
"68553",141.6395,-38.05582,1,134,100,52,3039,241,52,189,95,174,174,95,810,108,27,36,295,106,106,295
"68554",141.1138,-36.49705,1,145,135,52,4169,294,39,255,93,199,199,93,497,65,19,37,178,64,66,178
"68555",145.2492,-37.6514,1,141,107,48,4004,267,45,222,114,192,192,90,807,81,48,18,236,150,150,205
"68556",141.0025,-37.23444,1,138,123,51,3764,277,40,237,90,187,187,90,665,94,21,42,259,78,78,259
"68557",141.1047,-37.35528,1,137,120,51,3697,273,41,232,90,185,185,90,696,96,22,41,268,80,80,268
"68558",142.0433,-37.53667,1,132,116,51,3699,265,39,226,91,180,180,85,648,82,26,30,222,94,94,216
"68559",147.4531,-38.12583,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68560",147.5319,-38.07528,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68561",147.4664,-38.10889,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68562",147.4767,-38.10611,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68563",147.5525,-38.05667,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68564",145.9885,-36.88737,1,133,122,46,4899,283,23,260,79,195,196,71,929,116,39,30,321,146,151,319
"68565",144.4877,-37.1915,1,124,114,46,4486,264,21,243,74,181,181,67,815,99,42,29,272,127,127,270
"68566",144.6764,-37.40636,1,120,108,46,4231,253,23,230,73,175,175,67,887,104,49,25,287,148,148,275
"68567",147.4211,-38.14612,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68568",145.1669,-37.71278,1,145,105,48,3880,266,51,215,139,195,195,95,784,80,48,17,227,149,149,196
"68569",141.3069,-37.80333,1,137,106,52,3234,253,50,203,96,179,179,96,744,100,24,39,280,91,91,280
"68570",141.6892,-37.00667,1,138,128,51,4076,282,34,248,93,190,190,86,583,76,23,37,212,76,76,210
"68571",145.2808,-37.69444,1,143,107,48,3949,267,47,220,116,193,193,92,816,84,48,18,240,150,150,209
"68572",147.5167,-38.06944,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68573",142.9664,-37.20241,1,128,119,48,4259,271,28,243,82,183,183,75,686,84,32,30,234,108,108,224
"68574",143.5817,-37.64622,1,121,110,48,4016,252,27,225,92,173,173,70,754,87,38,24,242,122,122,223
"68575",142.3644,-36.88389,1,138,127,50,4376,286,32,254,83,194,194,83,570,70,28,32,195,87,87,195
"68576",147.4701,-38.10117,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68577",145.1793,-37.807,1,142,102,48,3785,261,51,210,116,191,191,93,868,89,51,16,248,162,162,224
"68578",141.2735,-38.06863,1,136,93,51,2927,236,57,179,99,174,174,99,795,107,24,40,308,98,98,308
"68579",147.4331,-36.0261,1,127,126,45,5419,284,6,278,67,195,197,58,1008,125,42,31,348,155,164,345
"68580",147.5522,-38.06306,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68581",144.6536,-37.43722,1,120,107,46,4189,252,23,229,73,174,174,67,890,103,50,23,285,152,152,270
"68582",147.4519,-38.12639,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68583",147.4228,-38.15028,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68584",147.5525,-38.05583,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68585",147.5528,-38.05694,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68586",145.3109,-37.6903,1,141,107,48,3969,266,45,221,114,192,192,90,874,90,50,19,260,156,156,229
"68587",144.8229,-37.02818,1,135,118,47,4660,277,27,250,84,194,195,76,696,82,36,25,227,121,125,222
"68588",142.2289,-37.13493,1,135,123,50,4121,278,34,244,90,188,188,83,626,79,28,33,217,90,90,216
"68589",141.7862,-36.6001,1,141,135,51,4393,290,30,260,86,197,197,86,482,60,23,32,165,73,75,165
"68590",141.2907,-38.13093,1,134,89,51,2813,229,57,172,98,168,171,98,829,113,24,41,324,102,103,324
"68591",144.2156,-37.21711,1,128,117,47,4459,270,24,246,79,186,186,72,722,86,37,26,234,117,117,230
"68592",141.3142,-37.65333,1,137,112,51,3437,262,46,216,98,182,182,93,710,96,23,39,269,87,87,265
"68593",147.5175,-38.07083,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68594",143.5307,-37.70511,1,124,110,49,3967,254,30,224,96,176,176,73,706,80,37,23,224,118,118,204
"68595",145.2623,-37.722,1,144,106,48,3909,267,49,218,118,194,194,94,830,85,49,18,244,152,152,215
"68596",140.9722,-37.22165,1,139,123,51,3764,278,41,237,91,188,188,91,653,93,21,43,256,77,77,256
"68597",145.296,-37.60752,1,135,108,47,4089,264,38,226,107,187,187,82,963,101,55,20,289,168,168,264
"68598",142.031,-37.35222,1,131,119,50,3857,269,35,234,88,181,181,82,670,86,27,34,236,93,93,232
"68599",145.2081,-37.81441,1,142,102,48,3785,261,51,210,116,191,191,93,868,89,51,16,248,162,162,224
"68600",142.4986,-36.88917,1,141,126,49,4367,288,35,253,86,197,197,86,532,64,27,30,178,84,84,178
"68601",147.5175,-38.07056,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68602",147.4231,-38.14972,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68603",145.2795,-37.6956,1,143,107,48,3949,267,47,220,116,193,193,92,816,84,48,18,240,150,150,209
"68604",147.2712,-38.2638,1,138,105,51,3383,243,40,203,151,181,181,93,649,65,36,15,190,137,137,159
"68605",141.8356,-38.11238,1,136,97,52,3051,240,54,186,97,176,176,97,760,100,28,34,271,102,102,271
"68606",142.3539,-36.8908,1,138,127,50,4376,286,32,254,83,194,194,83,570,70,28,32,195,87,87,195
"68607",141.2607,-37.68014,1,139,110,51,3361,261,49,212,101,183,183,96,700,94,23,39,263,86,86,262
"68608",141.2234,-37.3685,1,139,121,51,3705,275,42,233,98,187,187,92,675,91,22,40,255,79,79,253
"68609",142.3731,-36.88878,1,138,127,50,4376,286,32,254,83,194,194,83,570,70,28,32,195,87,87,195
"68610",141.0317,-37.72556,1,137,106,51,3271,254,49,205,95,179,179,95,734,101,23,41,285,86,86,285
"68611",141.0297,-37.27944,1,138,122,51,3756,276,40,236,90,186,186,90,675,95,21,42,263,79,79,263
"68612",147.4531,-38.12611,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68613",147.5553,-38.05833,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68614",147.3822,-38.18083,1,140,106,52,3385,244,41,203,153,183,183,95,647,67,35,15,190,135,135,158
"68615",147.3819,-38.18167,1,140,106,52,3385,244,41,203,153,183,183,95,647,67,35,15,190,135,135,158
"68616",145.2871,-37.6925,1,143,107,48,3949,267,47,220,116,193,193,92,816,84,48,18,240,150,150,209
"68617",147.1387,-37.8712,1,134,119,52,3760,254,27,227,149,85,182,85,707,75,42,15,214,157,159,157
"68618",140.981,-36.55564,1,145,134,52,4090,293,40,253,94,198,198,94,516,69,19,39,190,64,64,190
"68619",143.6058,-37.69516,1,123,109,48,3971,253,30,223,95,175,175,72,724,82,38,22,230,122,122,210
"68620",144.282,-37.1361,1,129,118,47,4529,272,23,249,79,186,187,71,729,88,38,28,240,116,126,237
"68621",145.5281,-38.42607,1,140,92,48,3258,246,57,189,105,183,183,98,947,104,42,26,296,152,152,292
"68622",147.5258,-38.07056,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68623",141.1064,-36.51485,1,145,135,52,4160,293,38,255,93,198,199,93,506,67,19,38,183,65,67,183
"68624",147.0224,-38.26905,1,134,107,51,3478,243,34,209,147,178,178,88,685,68,40,14,200,146,146,166
"68625",146.9594,-38.19189,1,133,111,51,3579,246,31,215,147,178,178,86,689,69,40,14,202,148,148,164
"68626",144.6413,-37.08674,1,128,115,46,4546,269,23,246,77,186,186,70,762,92,39,27,253,125,125,248
"68627",141.2067,-37.77111,1,137,106,51,3258,254,50,204,95,179,179,95,741,100,24,40,282,89,89,282
"68628",147.525,-38.07083,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68629",147.4533,-38.12556,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68630",147.4678,-38.1225,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68631",147.445,-38.12667,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68632",145.1225,-37.62611,1,142,106,48,3965,265,47,218,135,193,193,91,738,74,48,16,216,146,146,180
"68633",144.5078,-37.56402,1,130,106,47,4017,256,33,223,101,181,181,78,702,72,45,16,215,142,142,177
"68634",147.4571,-38.10599,1,141,108,52,3406,246,41,205,154,184,184,96,652,69,34,15,194,136,136,157
"68635",141.3544,-37.28778,1,134,123,51,3816,274,37,237,92,184,184,86,682,91,22,41,258,81,81,255
"68636",141.1403,-37.46528,1,138,117,51,3548,270,44,226,93,184,184,93,691,94,23,41,262,82,82,262
"68637",141.5586,-37.98389,1,132,102,52,3106,243,49,194,92,173,173,92,812,108,27,37,300,104,104,300
"68638",146.7122,-36.26056,1,130,118,44,5269,279,12,267,71,197,197,63,937,116,34,32,324,139,145,320
"68639",142.5083,-37.35917,1,123,117,49,4016,262,27,235,78,175,175,72,790,99,34,32,274,114,114,266
"68640",147.4678,-38.11806,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68641",147.4436,-38.12694,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68642",140.9663,-38.00932,1,137,91,52,2880,233,58,175,100,174,174,100,791,111,25,44,317,91,91,317
"68643",141.9686,-37.64889,1,132,113,51,3548,260,41,219,92,178,178,86,667,87,24,33,237,92,92,231
"68644",142.988,-37.31775,1,130,119,50,4130,270,32,238,85,183,184,78,628,74,31,26,207,106,107,194
"68645",145.2571,-37.58462,1,139,109,48,4080,267,42,225,112,191,191,87,850,86,50,18,252,155,155,222
"68646",142.4092,-36.94183,1,130,125,49,4338,277,26,251,75,185,185,75,727,93,32,36,261,102,102,261
"68647",147.4683,-38.10262,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68648",141.0947,-37.11667,1,140,126,52,3868,282,40,242,91,190,190,91,619,85,20,41,236,75,75,236
"68649",145.2003,-38.16278,1,143,93,48,3467,252,60,192,119,188,188,98,804,85,45,19,241,146,146,223
"68650",147.4228,-38.155,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68651",141.4912,-38.1405,1,134,93,52,2884,232,55,177,97,171,171,97,833,110,25,39,316,107,107,316
"68652",142.0282,-37.34453,1,131,119,50,3857,269,35,234,88,181,181,82,670,86,27,34,236,93,93,232
"68653",147.1997,-38.30779,1,137,105,51,3397,242,39,203,150,168,180,92,661,66,37,15,193,139,140,163
"68654",145.5261,-38.42562,1,140,92,48,3258,246,57,189,105,183,183,98,947,104,42,26,296,152,152,292
"68655",147.5247,-38.07083,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68656",147.4242,-38.155,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68657",147.5569,-38.0625,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68658",147.5572,-38.0625,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68659",147.4661,-38.12389,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68660",147.4447,-38.12667,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68661",145.2817,-37.7135,1,144,106,48,3909,267,49,218,118,194,194,94,830,85,49,18,244,152,152,215
"68662",145.2951,-37.6911,1,141,107,48,3969,266,45,221,114,192,192,90,874,90,50,19,260,156,156,229
"68663",141.935,-37.47197,1,129,117,51,3727,263,35,228,87,177,177,81,701,91,26,34,250,95,95,245
"68664",147.8981,-37.33067,1,119,120,50,4115,247,10,237,137,153,170,65,793,96,52,18,248,168,179,180
"68665",145.2069,-37.62028,1,143,108,48,4044,269,46,223,136,194,194,91,742,74,46,17,218,143,143,184
"68666",147.5561,-38.05889,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68667",147.4772,-38.10472,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68668",147.4764,-38.10556,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68669",147.5517,-38.05667,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68670",140.9673,-37.51773,1,138,114,51,3522,268,45,223,94,184,184,94,702,98,22,42,274,80,80,274
"68671",147.2734,-37.78056,1,134,119,52,3760,254,27,227,149,85,182,85,741,80,44,15,224,165,168,165
"68672",141.1721,-37.36442,1,138,121,51,3679,274,41,233,97,186,186,91,695,94,23,41,264,82,82,263
"68673",145.9915,-36.87314,1,130,120,46,4907,280,20,260,76,192,193,68,973,123,40,31,339,150,157,338
"68674",147.4175,-38.1409,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68675",141.8456,-38.12778,1,136,95,51,3001,238,55,183,97,175,175,97,770,101,28,35,277,103,103,277
"68676",141.4131,-37.11417,1,137,127,52,3938,280,36,244,93,188,188,87,630,83,21,40,236,76,76,234
"68677",141.2653,-37.01,1,139,128,52,3951,283,37,246,89,190,190,89,609,81,20,40,228,74,74,228
"68678",144.8817,-37.02056,1,139,119,47,4662,281,29,252,87,198,198,79,665,77,35,24,214,119,122,209
"68679",147.4222,-38.14972,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68680",147.4672,-38.10917,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68681",147.4669,-38.12306,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68682",142.9677,-37.27133,1,131,119,49,4154,272,32,240,85,184,184,78,636,75,32,26,210,107,109,198
"68683",142.3597,-36.9113,1,138,127,50,4376,286,32,254,83,194,194,83,570,70,28,32,195,87,87,195
